Algorithm,Processors,Avg_Latency(us)
0,2,0.43
0,4,0.50
0,8,0.95
0,16,2.34
0,32,2.70
0,48,4.54
0,64,3.85
0,96,5.68
0,128,5.84
0,176,39.18
0,224,45.16
0,256,17.37
1,2,0.52
1,4,0.55
1,8,1.18
1,16,4.50
1,32,4.82
1,48,10.97
1,64,14.66
1,96,28.45
1,128,45.61
1,176,51.19
1,224,94.63
1,256,100.64
0,2,0.33
0,4,0.50
0,8,1.05
0,16,2.50
0,32,2.46
0,48,4.04
0,64,4.05
0,96,5.71
0,128,5.84
0,176,43.81
0,224,39.07
0,256,14.75
1,2,0.58
1,4,0.69
1,8,1.20
1,16,4.24
1,32,4.81
1,48,7.88
1,64,10.47
1,96,29.21
1,128,34.92
1,176,61.75
1,224,101.57
1,256,101.10
0,2,0.44
0,4,0.75
0,8,0.93
0,16,2.31
0,32,2.50
0,48,5.29
0,64,4.33
0,96,5.68
0,128,5.71
0,176,52.40
0,224,52.13
0,256,15.54
1,2,0.38
1,4,0.76
1,8,1.34
1,16,2.39
1,32,4.72
1,48,10.32
1,64,10.81
1,96,31.43
1,128,42.99
1,176,59.40
1,224,92.63
1,256,103.38
0,2,0.33
0,4,0.72
0,8,0.98
0,16,2.08
0,32,2.46
0,48,5.00
0,64,3.56
0,96,5.98
0,128,5.91
0,176,45.48
0,224,42.51
0,256,11.77
1,2,0.62
1,4,0.82
1,8,1.14
1,16,4.35
1,32,4.73
1,48,7.79
1,64,11.83
1,96,22.49
1,128,36.17
1,176,78.74
1,224,89.51
1,256,101.04
0,2,0.44
0,4,0.51
0,8,1.08
0,16,2.19
0,32,2.47
0,48,4.19
0,64,4.21
0,96,6.28
0,128,5.48
0,176,46.55
0,224,43.71
0,256,14.54
1,2,0.59
1,4,0.72
1,8,1.26
1,16,4.03
1,32,6.54
1,48,7.39
1,64,10.53
1,96,21.80
1,128,45.66
1,176,69.05
1,224,86.72
1,256,101.35
0,2,0.33
0,4,0.67
0,8,0.99
0,16,2.64
0,32,2.72
0,48,4.36
0,64,3.77
0,96,6.06
0,128,5.73
0,176,72.43
0,224,45.02
0,256,11.35
1,2,0.41
1,4,0.60
1,8,1.14
1,16,2.46
1,32,4.85
1,48,11.47
1,64,16.88
1,96,26.11
1,128,35.09
1,176,75.64
1,224,86.51
1,256,112.36
0,2,0.33
0,4,0.99
0,8,1.04
0,16,2.27
0,32,2.57
