Algorithm,Processors,Avg_Latency(us)
0,2,274.33
0,4,10.53
0,8,11.97
0,12,1833.15
0,16,20.41
0,24,2882.66
0,48,8463.70
1,2,16.41
1,4,50.97
1,8,59.65
1,12,90.21
1,16,120.49
1,24,224.54
1,48,7447.43
2,2,21.31
2,4,271.10
2,8,903.98
2,12,1532.62
2,16,2221.16
2,24,3554.79
2,48,10841.25
4,2,308.25
4,4,72.86
4,8,14.06
4,12,10.89
4,16,47.82
4,24,2589.08
4,48,29132.19
0,2,47.19
0,4,15.42
0,8,11.09
0,12,513.85
0,16,13.72
0,24,500.19
0,48,3286.15
1,2,41.65
1,4,3.25
1,8,65.17
1,12,188.00
1,16,122.99
1,24,221.59
1,48,7568.54
2,2,22.17
2,4,251.46
2,8,888.82
2,12,1532.54
2,16,2204.43
2,24,10043.15
2,48,4893.36
4,2,78.44
4,4,174.72
4,8,53.68
4,12,14.65
4,16,22.56
4,24,43.59
4,48,27502.59
0,2,2556.79
0,4,98.77
0,8,13.25
0,12,478.21
0,16,11.92
0,24,3072.54
0,48,2303.80
1,2,726.88
1,4,17.53
1,8,55.53
1,12,95.24
1,16,106.47
1,24,2392.74
1,48,8104.95
2,2,58.48
2,4,267.07
2,8,875.49
2,12,1534.71
2,16,2214.91
2,24,3532.97
2,48,8098.03
4,2,45.91
4,4,193.52
4,8,10.77
4,12,16.43
4,16,42.05
4,24,22.56
4,48,42371.60
0,2,531.81
0,4,62.12
0,8,12.00
0,12,541.74
0,16,14.84
0,24,733.71
0,48,6618.33
1,2,2773.34
1,4,8.98
1,8,60.05
1,12,88.94
1,16,107.96
1,24,4153.58
1,48,7957.46
2,2,22.26
2,4,242.20
2,8,872.56
2,12,1531.93
2,16,2240.63
2,24,3573.68
2,48,7309.65
4,2,58.45
4,4,39.11
4,8,13.20
4,12,22.43
4,16,12.18
4,24,1321.16
4,48,37022.49
0,2,410.52
0,4,44.76
0,8,46.95
0,12,537.32
0,16,14.85
0,24,1948.96
0,48,3259.99
1,2,585.56
1,4,159.44
1,8,57.90
1,12,102.87
1,16,112.52
1,24,2939.54
1,48,8014.79
2,2,20.61
2,4,245.92
2,8,883.32
2,12,1542.86
2,16,2200.34
2,24,3547.16
2,48,5001.41
4,2,1410.84
4,4,13.50
4,8,12.24
4,12,12.36
4,16,15.23
4,24,13.13
4,48,27439.39
0,2,337.52
0,4,49.94
0,8,12.16
0,12,509.26
0,16,56.31
0,24,660.27
0,48,2434.91
1,2,266.65
1,4,10.08
1,8,62.42
1,12,98.59
1,16,135.80
1,24,224.66
1,48,7886.78
2,2,22.20
2,4,284.94
2,8,885.88
2,12,1543.12
2,16,2221.66
2,24,4378.38
2,48,5778.42
4,2,290.28
4,4,85.46
4,8,48.42
4,12,13.38
4,16,48.87
4,24,10.74
4,48,45939.51
0,2,1439.86
0,4,79.78
0,8,12.81
0,12,508.71
0,16,43.19
0,24,767.47
0,48,8145.77
1,2,409.63
1,4,55.61
1,8,58.20
1,12,109.04
1,16,122.49
1,24,218.79
1,48,7740.90
2,2,23.32
2,4,277.84
2,8,887.30
2,12,1553.74
2,16,2197.55
2,24,10494.30
2,48,26462.67
4,2,1103.66
4,4,12.72
4,8,73.55
4,12,16.41
4,16,15.77
4,24,12.72
4,48,20171.05
0,2,1330.16
0,4,23.35
0,8,17.17
0,12,272.65
0,16,11.04
0,24,574.91
0,48,6526.53
1,2,851.36
1,4,79.39
1,8,58.88
1,12,91.71
1,16,117.96
1,24,3527.29
1,48,8319.38
2,2,21.21
2,4,250.18
2,8,882.03
2,12,1618.33
2,16,2202.37
2,24,14181.69
2,48,4547.38
4,2,2059.45
4,4,89.72
4,8,59.50
4,12,14.87
4,16,42.81
4,24,10.51
4,48,36571.52
0,2,48.17
0,4,95.80
0,8,14.13
0,12,2280.63
0,16,163.27
0,24,520.50
0,48,10927.07
1,2,84.03
1,4,50.92
1,8,57.76
1,12,89.40
1,16,120.81
1,24,291.52
1,48,7505.86
2,2,21.12
2,4,273.04
2,8,886.69
2,12,1538.43
2,16,2222.52
2,24,3551.83
2,48,4618.21
4,2,1273.79
4,4,313.68
4,8,13.17
4,12,13.55
4,16,15.85
4,24,20.22
4,48,42112.12
0,2,388.16
0,4,14.32
0,8,40.48
0,12,568.69
0,16,14.53
0,24,523.31
0,48,2114.61
1,2,43.80
1,4,13.93
1,8,61.68
1,12,108.48
1,16,124.74
1,24,299.67
1,48,11157.18
2,2,21.41
2,4,243.56
2,8,992.17
2,12,1555.99
2,16,2192.13
2,24,3662.58
2,48,4791.51
4,2,43.97
4,4,34.51
4,8,10.52
4,12,12.94
4,16,15.66
4,24,11.82
4,48,40108.21
0,2,2983.17
0,4,30.67
0,8,15.40
0,12,568.26
0,16,15.19
0,24,579.22
0,48,4999.10
1,2,736.62
1,4,11.94
1,8,59.69
1,12,90.34
1,16,118.98
1,24,1495.18
1,48,7803.15
2,2,21.36
2,4,265.20
2,8,885.63
2,12,1532.01
2,16,2202.17
2,24,17366.85
2,48,5094.28
4,2,537.84
4,4,226.29
4,8,12.18
4,12,64.77
4,16,12.95
4,24,16.04
4,48,35676.47
0,2,2710.74
0,4,53.61
0,8,11.66
0,12,2175.69
0,16,18.12
0,24,574.93
0,48,2856.83
1,2,43.20
1,4,1460.51
1,8,57.94
1,12,94.21
1,16,116.23
1,24,256.41
1,48,7842.52
2,2,22.76
2,4,261.13
2,8,1361.01
2,12,1527.43
2,16,2273.82
2,24,3543.43
2,48,4054.33
4,2,341.29
4,4,65.69
4,8,7.06
4,12,13.73
4,16,35.12
4,24,12.05
4,48,85417.06
0,2,96.41
0,4,15.22
0,8,11.46
0,12,552.59
0,16,35.26
0,24,2640.44
0,48,13380.41
1,2,442.28
1,4,103.29
1,8,57.01
1,12,89.62
1,16,117.51
1,24,219.81
1,48,8691.61
2,2,22.82
2,4,257.28
2,8,919.27
2,12,1589.75
2,16,2193.57
2,24,8390.48
2,48,4979.05
4,2,966.08
4,4,1232.57
4,8,11.31
4,12,12.60
4,16,43.05
4,24,1583.70
4,48,24496.92
0,2,64.85
0,4,78.37
0,8,48.90
0,12,561.49
0,16,46.58
0,24,691.00
0,48,12986.84
1,2,1526.23
1,4,371.40
1,8,127.94
1,12,179.43
1,16,113.56
1,24,248.63
1,48,7485.52
2,2,21.53
2,4,261.85
2,8,874.25
2,12,1539.93
2,16,2217.65
2,24,34898.34
2,48,5808.86
4,2,45.98
4,4,37.12
4,8,74.66
4,12,39.82
4,16,15.56
4,24,16.77
4,48,35176.03
0,2,164.29
0,4,10.94
0,8,10.47
0,12,516.46
0,16,15.79
0,24,5587.31
0,48,5576.68
1,2,503.10
1,4,40.29
1,8,59.64
1,12,90.76
1,16,110.43
1,24,1342.59
1,48,7513.06
2,2,21.98
2,4,253.75
2,8,881.13
2,12,1541.15
2,16,2181.19
2,24,3541.93
2,48,5310.57
4,2,219.68
4,4,45.82
4,8,31.89
4,12,15.09
4,16,13.11
4,24,17.06
4,48,30379.19
0,2,46.69
0,4,570.33
0,8,28.99
0,12,1902.86
0,16,11.81
0,24,2325.37
0,48,42536.64
1,2,56.54
1,4,64.15
1,8,57.88
1,12,85.31
1,16,118.53
1,24,261.84
1,48,7488.13
2,2,21.61
2,4,243.25
2,8,2781.47
2,12,1552.28
2,16,2210.76
2,24,25080.47
2,48,5662.05
4,2,45.51
4,4,69.96
4,8,19.06
4,12,15.69
4,16,12.04
4,24,713.77
4,48,22994.67
0,2,1282.22
0,4,403.88
0,8,10.42
0,12,526.78
0,16,25.35
0,24,2053.92
0,48,10767.99
1,2,86.94
1,4,25.88
1,8,55.27
1,12,95.43
