Algorithm,Processors,Size(bytes),Avg_Latency(us)
0,2,1,142.72
0,2,2,0.27
0,2,4,0.20
0,2,8,0.18
0,2,16,0.19
0,2,32,0.20
0,2,64,0.21
0,2,128,1.26
0,2,256,8.89
0,2,512,1.72
0,2,1024,1.69
0,2,2048,1.79
0,2,4096,5.92
0,2,8192,4.68
0,2,16384,7.93
0,2,32768,12.46
0,2,65536,8.26
0,2,131072,13.29
0,2,262144,22.34
0,2,524288,41.60
0,2,1048576,77.08
0,4,1,1.37
0,4,2,0.22
0,4,4,0.22
0,4,8,0.21
0,4,16,0.20
0,4,32,0.20
0,4,64,1.05
0,4,128,3.15
0,4,256,6.11
0,4,512,2.52
0,4,1024,5.78
0,4,2048,5.13
0,4,4096,7.98
0,4,8192,10.89
0,4,16384,9.34
0,4,32768,10.94
0,4,65536,15.16
0,4,131072,23.31
0,4,262144,61.01
0,4,524288,112.79
0,4,1048576,207.40
0,8,1,0.78
0,8,2,1.03
0,8,4,0.62
0,8,8,0.70
0,8,16,1.50
0,8,32,3.48
0,8,64,1.00
0,8,128,9.76
0,8,256,5.36
0,8,512,9.95
0,8,1024,5.76
0,8,2048,11.48
0,8,4096,33.30
0,8,8192,18.69
0,8,16384,17.14
0,8,32768,42.72
0,8,65536,42.43
0,8,131072,68.43
0,8,262144,144.92
0,8,524288,297.90
0,8,1048576,604.66
0,16,1,4.48
0,16,2,1.29
0,16,4,4.16
0,16,8,4.22
0,16,16,0.82
0,16,32,0.94
0,16,64,1.43
0,16,128,11.03
0,16,256,9.17
0,16,512,12.33
0,16,1024,28.14
0,16,2048,24.47
0,16,4096,24.96
0,16,8192,30.44
0,16,16384,22.56
0,16,32768,37.05
0,16,65536,85.61
0,16,131072,139.72
0,16,262144,291.65
0,16,524288,573.59
0,16,1048576,1531.38
0,32,1,3.23
0,32,2,9.54
0,32,4,4.56
0,32,8,3.08
0,32,16,3.37
0,32,32,2.83
0,32,64,6.08
0,32,128,14.92
0,32,256,12.71
0,32,512,22.92
0,32,1024,17.00
0,32,2048,32.84
0,32,4096,36.82
0,32,8192,44.41
0,32,16384,20.88
0,32,32768,53.01
0,32,65536,70.56
0,32,131072,130.65
0,32,262144,275.88
0,32,524288,555.78
0,32,1048576,3202.74
0,48,1,311.14
0,48,2,14.21
0,48,4,6.62
0,48,8,6.19
0,48,16,4.76
0,48,32,8.97
0,48,64,27.00
0,48,128,42.63
0,48,256,22.41
0,48,512,19.32
0,48,1024,33.76
0,48,2048,37.45
0,48,4096,49.74
0,48,8192,67.43
0,48,16384,34.02
0,48,32768,54.21
0,48,65536,81.09
0,48,131072,178.95
0,48,262144,374.28
0,48,524288,768.59
0,48,1048576,1366.79
0,64,1,2.98
0,64,2,13.84
0,64,4,4.92
0,64,8,3.63
0,64,16,10.43
0,64,32,10.33
0,64,64,34.89
0,64,128,16.61
0,64,256,16.76
0,64,512,19.38
0,64,1024,19.10
0,64,2048,24.22
0,64,4096,45.99
0,64,8192,56.18
0,64,16384,34.80
0,64,32768,47.73
0,64,65536,73.25
0,64,131072,182.91
0,64,262144,339.16
0,64,524288,738.80
0,64,1048576,1243.84
0,96,1,26.45
0,96,2,12.37
0,96,4,8.99
0,96,8,5.76
0,96,16,6.19
0,96,32,3.34
0,96,64,11.72
0,96,128,9.28
0,96,256,24.55
0,96,512,22.33
0,96,1024,31.24
0,96,2048,40.05
0,96,4096,42.83
0,96,8192,55.06
0,96,16384,29.93
0,96,32768,62.78
0,96,65536,96.69
0,96,131072,202.55
0,96,262144,459.37
0,96,524288,930.17
0,96,1048576,1520.71
0,128,1,4.03
0,128,2,28.86
0,128,4,17.78
0,128,8,11.11
0,128,16,8.41
0,128,32,9.60
0,128,64,48.29
0,128,128,46.75
0,128,256,31.07
0,128,512,30.02
0,128,1024,45.29
0,128,2048,46.35
0,128,4096,95.04
0,128,8192,139.53
0,128,16384,144.77
0,128,32768,181.22
0,128,65536,120.39
0,128,131072,284.59
0,128,262144,520.12
0,128,524288,1107.12
0,128,1048576,1816.69
0,176,1,1753.03
0,176,2,26.39
0,176,4,10.20
0,176,8,25.15
0,176,16,15.45
0,176,32,12.43
0,176,64,267.86
0,176,128,49.65
0,176,256,39.07
0,176,512,54.58
0,176,1024,56.75
0,176,2048,63.64
0,176,4096,92.27
0,176,8192,88.07
0,176,16384,158.61
0,176,32768,305.34
0,176,65536,155.41
0,176,131072,270.37
0,176,262144,575.81
0,176,524288,1222.78
0,176,1048576,2111.54
0,224,1,269.21
0,224,2,27.45
0,224,4,13.19
0,224,8,22.03
0,224,16,10.04
0,224,32,14.44
0,224,64,326.95
0,224,128,74.36
0,224,256,182.55
0,224,512,97.47
0,224,1024,61.74
0,224,2048,60.58
0,224,4096,88.08
0,224,8192,126.55
0,224,16384,212.85
0,224,32768,345.99
0,224,65536,179.95
0,224,131072,269.64
0,224,262144,543.04
0,224,524288,1141.94
0,224,1048576,2042.09
0,256,1,17.46
0,256,2,3.17
0,256,4,2.20
0,256,8,2.65
0,256,16,1.44
0,256,32,2.16
0,256,64,3.21
0,256,128,19.51
0,256,256,28.38
0,256,512,26.07
0,256,1024,30.15
0,256,2048,41.96
0,256,4096,70.50
0,256,8192,73.52
0,256,16384,2213.54
0,256,32768,87.06
0,256,65536,126.84
0,256,131072,226.29
0,256,262144,479.25
0,256,524288,952.33
0,256,1048576,1553.04
1,2,1,175.36
1,2,2,0.17
1,2,4,0.18
1,2,8,0.17
1,2,16,0.17
1,2,32,0.18
1,2,64,0.16
1,2,128,1.31
1,2,256,9.84
1,2,512,1.52
1,2,1024,1.58
1,2,2048,1.33
1,2,4096,6.93
1,2,8192,5.02
1,2,16384,7.26
1,2,32768,9.70
1,2,65536,9.74
1,2,131072,15.95
1,2,262144,27.72
1,2,524288,53.57
1,2,1048576,84.65
1,4,1,0.45
1,4,2,0.21
1,4,4,0.15
1,4,8,0.16
1,4,16,0.18
1,4,32,0.15
1,4,64,0.14
1,4,128,2.95
1,4,256,5.15
1,4,512,3.12
1,4,1024,2.96
1,4,2048,4.81
1,4,4096,9.44
1,4,8192,11.36
1,4,16384,18.69
1,4,32768,10.71
1,4,65536,15.30
1,4,131072,22.67
1,4,262144,59.42
1,4,524288,109.02
1,4,1048576,209.82
1,8,1,2.98
1,8,2,0.96
1,8,4,1.99
1,8,8,1.17
1,8,16,1.25
1,8,32,3.04
1,8,64,1.66
1,8,128,13.35
1,8,256,9.98
1,8,512,11.16
1,8,1024,8.40
1,8,2048,17.50
1,8,4096,17.60
1,8,8192,22.73
1,8,16384,28.10
1,8,32768,23.37
1,8,65536,39.31
1,8,131072,65.36
1,8,262144,132.00
1,8,524288,290.48
1,8,1048576,673.91
1,16,1,4.05
1,16,2,1.86
1,16,4,5.60
1,16,8,3.35
1,16,16,1.47
1,16,32,0.98
1,16,64,2.11
1,16,128,14.38
1,16,256,11.54
1,16,512,15.63
1,16,1024,13.01
1,16,2048,22.98
1,16,4096,33.29
1,16,8192,42.45
1,16,16384,19.28
1,16,32768,81.07
1,16,65536,51.05
1,16,131072,112.25
1,16,262144,235.77
1,16,524288,450.00
1,16,1048576,865.68
1,32,1,2.73
1,32,2,15.46
1,32,4,5.87
1,32,8,6.83
1,32,16,6.36
1,32,32,3.90
1,32,64,11.49
1,32,128,44.82
1,32,256,33.40
1,32,512,55.11
1,32,1024,52.96
1,32,2048,90.19
1,32,4096,97.09
1,32,8192,129.07
1,32,16384,37.99
1,32,32768,76.50
1,32,65536,133.29
1,32,131072,254.04
1,32,262144,540.41
1,32,524288,1083.46
1,32,1048576,2023.30
1,48,1,55.72
1,48,2,24.36
1,48,4,8.32
1,48,8,6.84
1,48,16,10.72
1,48,32,5.67
1,48,64,9.69
1,48,128,64.31
1,48,256,50.60
1,48,512,46.29
1,48,1024,76.52
1,48,2048,85.24
1,48,4096,107.29
1,48,8192,136.48
1,48,16384,66.78
1,48,32768,110.82
1,48,65536,201.32
1,48,131072,398.54
1,48,262144,858.69
1,48,524288,1570.13
1,48,1048576,3205.77
1,64,1,7.50
1,64,2,65.74
1,64,4,14.82
1,64,8,36.80
1,64,16,22.98
1,64,32,6.86
1,64,64,33.38
1,64,128,127.38
1,64,256,110.30
1,64,512,80.83
1,64,1024,78.55
1,64,2048,86.08
1,64,4096,193.99
1,64,8192,170.74
1,64,16384,80.21
1,64,32768,126.54
1,64,65536,274.63
1,64,131072,589.73
1,64,262144,1197.32
1,64,524288,2507.62
1,64,1048576,4884.18
1,96,1,6.65
1,96,2,82.57
1,96,4,22.65
1,96,8,23.30
1,96,16,39.41
1,96,32,11.09
1,96,64,17.45
1,96,128,99.28
1,96,256,124.08
1,96,512,96.90
1,96,1024,123.49
1,96,2048,244.54
1,96,4096,214.58
1,96,8192,272.25
1,96,16384,98.96
1,96,32768,176.63
1,96,65536,402.78
1,96,131072,935.84
1,96,262144,1876.66
1,96,524288,3315.57
1,96,1048576,7715.74
1,128,1,30.61
1,128,2,216.56
1,128,4,80.67
1,128,8,298.58
1,128,16,65.58
1,128,32,15.19
1,128,64,14.82
1,128,128,141.73
1,128,256,260.52
1,128,512,136.87
1,128,1024,159.74
1,128,2048,235.44
1,128,4096,407.00
1,128,8192,381.71
1,128,16384,122.91
1,128,32768,252.65
1,128,65536,629.28
1,128,131072,1445.24
1,128,262144,3103.87
1,128,524288,5982.62
1,128,1048576,11791.97
1,176,1,1214.11
1,176,2,130.98
1,176,4,53.08
1,176,8,55.41
1,176,16,67.11
1,176,32,26.43
1,176,64,44.93
1,176,128,212.16
1,176,256,225.19
1,176,512,172.06
1,176,1024,219.21
1,176,2048,335.44
1,176,4096,411.11
1,176,8192,520.35
