Algorithm,Processors,Size(bytes),Avg_Latency(us)
0,2,1,38.41
0,2,2,0.66
0,2,4,0.58
0,2,8,0.65
0,2,16,0.58
0,2,32,2.81
0,2,64,0.56
0,2,128,7.23
0,2,256,23.01
0,2,512,6.92
0,2,1024,6.77
0,2,2048,6.95
0,2,4096,20.15
0,2,8192,38.35
0,2,16384,62.56
0,2,32768,23.82
0,2,65536,16.44
0,2,131072,25.37
0,2,262144,45.99
0,2,524288,90.09
0,2,1048576,163.55
0,4,1,12.17
0,4,2,0.81
0,4,4,0.97
0,4,8,0.95
0,4,16,0.79
0,4,32,0.85
0,4,64,1.24
0,4,128,14.01
0,4,256,35.84
0,4,512,13.21
0,4,1024,25.90
0,4,2048,26.62
0,4,4096,46.36
0,4,8192,57.49
0,4,16384,74.30
0,4,32768,30.89
0,4,65536,45.24
0,4,131072,72.30
0,4,262144,133.93
0,4,524288,263.95
0,4,1048576,565.09
0,8,1,4.64
0,8,2,1.48
0,8,4,4.96
0,8,8,1.95
0,8,16,1.62
0,8,32,2.07
0,8,64,1.59
0,8,128,22.62
0,8,256,22.08
0,8,512,21.90
0,8,1024,31.79
0,8,2048,41.94
0,8,4096,65.48
0,8,8192,100.31
0,8,16384,35.12
0,8,32768,40.80
0,8,65536,67.34
0,8,131072,117.78
0,8,262144,248.68
0,8,524288,488.43
0,8,1048576,978.29
0,12,1,111.54
0,12,2,5.05
0,12,4,9.27
0,12,8,8.33
0,12,16,6.58
0,12,32,4.68
0,12,64,3.75
0,12,128,39.77
0,12,256,55.90
0,12,512,40.16
0,12,1024,37.35
0,12,2048,60.79
0,12,4096,89.41
0,12,8192,136.99
0,12,16384,41.78
0,12,32768,73.85
0,12,65536,99.23
0,12,131072,223.16
0,12,262144,383.51
0,12,524288,748.95
0,12,1048576,1386.70
0,16,1,103.29
0,16,2,2.55
0,16,4,11.58
0,16,8,7.88
0,16,16,1.25
0,16,32,1.16
0,16,64,2.36
0,16,128,36.74
0,16,256,25.90
0,16,512,40.34
0,16,1024,32.99
