Threads,Size,Walltime(s)
1,1000,211.240247
2,1000,105.329881
3,1000,124.341377
4,1000,90.370691
5,1000,71.521734
6,1000,62.300396
7,1000,54.870304
8,1000,45.915487
9,1000,43.467805
10,1000,38.857667
11,1000,35.477789
12,1000,32.732322
13,1000,29.864237
14,1000,28.388316
15,1000,26.589436
16,1000,24.797481
17,1000,23.278841
18,1000,21.970321
19,1000,21.004550
20,1000,19.734751
21,1000,19.082741
22,1000,18.266909
23,1000,17.369284
24,1000,16.699667
25,1000,15.919101
26,1000,15.441186
27,1000,14.743418
28,1000,14.364666
29,1000,13.966341
30,1000,13.213513
31,1000,12.849732
32,1000,12.423606
33,1000,12.027095
34,1000,11.900655
35,1000,11.691570
36,1000,11.270711
37,1000,10.911887
38,1000,10.550427
39,1000,10.489959
40,1000,10.154278
41,1000,10.153294
42,1000,9.710031
43,1000,9.439941
44,1000,9.455959
45,1000,8.936079
46,1000,8.992259
47,1000,8.563816
48,1000,8.534808
49,1000,8.536014
50,1000,8.239127
51,1000,8.194087
52,1000,7.892627
53,1000,7.875934
54,1000,7.877555
55,1000,7.494428
56,1000,7.481119
57,1000,7.479378
58,1000,7.072795
59,1000,7.056923
60,1000,7.057865
61,1000,7.062499
62,1000,6.664203
63,1000,6.629571
64,1000,6.602535
